iter	Passed	Remaining
0	0	969
1	1	808
2	2	760
3	2	721
4	3	724
5	4	719
6	4	707
7	5	696
8	6	685
9	6	672
10	7	670
11	8	675
12	8	672
13	9	667
14	10	667
15	10	668
16	11	667
17	12	672
18	12	668
19	13	673
20	14	675
21	15	675
22	16	681
23	16	679
24	17	676
25	18	674
26	18	673
27	19	670
28	19	669
29	20	667
30	21	663
31	21	662
32	22	663
33	23	663
34	23	659
35	24	658
36	25	655
37	25	655
38	26	662
39	27	662
40	28	665
41	29	663
42	29	661
43	30	661
44	31	660
45	31	656
46	32	653
47	32	653
48	33	653
49	34	652
50	34	650
51	35	650
52	36	649
53	37	648
54	37	648
55	38	649
56	39	649
57	39	648
58	40	647
59	41	647
60	42	650
61	43	650
62	43	650
63	44	650
64	45	649
65	45	649
66	46	649
67	47	647
68	47	646
69	48	645
70	49	643
71	49	642
72	50	641
73	51	640
74	51	638
75	52	638
76	53	637
77	53	636
78	54	634
79	55	633
80	55	634
81	56	634
82	56	629
83	57	630
84	58	630
85	59	629
86	59	628
87	60	628
88	61	627
89	61	626
90	62	625
91	63	624
92	63	622
93	64	622
94	65	621
95	65	620
96	66	619
97	67	618
98	67	616
99	68	615
100	69	615
101	69	614
102	71	621
103	72	622
104	73	622
105	73	622
106	74	621
107	75	620
108	75	619
109	76	618
110	77	617
111	77	616
112	78	615
113	79	614
114	79	613
115	80	612
116	80	610
117	81	609
118	82	608
119	82	607
120	83	606
121	84	604
122	84	605
123	85	605
124	86	604
125	87	604
126	87	603
127	88	603
128	89	602
129	89	601
130	90	602
131	91	601
132	92	600
133	92	599
134	93	598
135	94	597
136	94	596
137	95	595
138	96	594
139	96	593
140	97	592
141	97	590
142	98	589
143	99	588
144	99	588
145	100	587
146	101	587
147	101	585
148	102	585
149	103	585
150	103	584
151	104	584
152	105	583
153	106	582
154	106	582
155	107	581
156	108	580
157	108	579
158	109	578
159	110	578
160	110	576
161	111	575
162	111	574
163	112	573
164	113	572
165	113	572
166	114	571
167	115	570
168	115	569
169	116	569
170	117	568
171	117	568
172	118	567
173	119	566
174	119	565
175	120	564
176	121	564
177	121	563
178	122	561
179	123	561
180	123	560
181	124	559
182	125	559
183	125	558
184	126	557
185	127	557
186	127	556
187	128	555
188	129	554
189	129	553
190	130	552
191	131	552
192	131	551
193	132	550
194	133	550
195	133	549
196	134	549
197	135	548
198	136	547
199	136	546
200	137	545
201	137	544
202	138	544
203	139	543
204	139	542
205	140	541
206	141	540
207	141	539
208	142	539
209	143	538
210	143	537
211	144	536
212	145	535
213	145	534
214	146	534
215	146	533
216	147	533
217	148	532
218	149	531
219	149	530
220	150	529
221	150	528
222	151	527
223	152	527
224	152	526
225	153	525
226	154	524
227	154	523
228	155	523
229	156	522
230	156	522
231	157	521
232	158	520
233	158	519
234	159	518
235	159	517
236	160	517
237	161	516
238	161	515
239	162	514
240	163	514
241	163	513
242	164	512
243	165	512
244	165	511
245	166	510
246	167	509
247	167	509
248	168	508
249	169	507
250	169	507
251	170	506
252	171	505
253	171	504
254	172	504
255	173	503
256	173	502
257	174	501
258	175	500
259	175	500
260	176	499
261	177	499
262	177	498
263	178	497
264	179	497
265	180	496
266	180	496
267	181	495
268	181	494
269	182	493
270	183	492
271	183	492
272	184	491
273	185	490
274	185	489
275	186	489
276	187	488
277	187	487
278	188	486
279	189	486
280	189	485
281	190	484
282	190	483
283	191	483
284	192	482
285	193	481
286	193	481
287	194	480
288	195	480
289	195	479
290	196	478
291	197	478
292	197	477
293	198	476
294	199	476
295	199	475
296	200	474
297	201	473
298	201	472
299	202	472
300	203	471
301	203	470
302	204	470
303	204	469
304	205	468
305	206	467
306	206	467
307	207	466
308	208	465
309	208	464
310	209	464
311	210	463
312	210	462
313	211	461
314	211	460
315	212	460
316	213	459
317	214	459
318	214	458
319	215	457
320	216	456
321	216	456
322	217	455
323	218	454
324	218	454
325	219	453
326	219	452
327	220	451
328	221	450
329	221	450
330	222	449
331	222	448
332	223	447
333	224	447
334	225	447
335	225	446
336	226	445
337	227	444
338	227	444
339	228	443
340	229	442
341	229	442
342	230	441
343	230	440
344	231	439
345	232	438
346	232	438
347	233	437
348	234	436
349	234	435
350	235	435
351	235	434
352	236	433
353	237	432
354	237	432
355	238	431
356	239	430
357	239	430
358	240	429
359	241	428
360	241	427
361	242	427
362	242	426
363	243	425
364	244	424
365	244	424
366	245	423
367	246	422
368	246	422
369	247	421
370	248	420
371	248	420
372	249	419
373	250	418
374	250	418
375	251	417
376	252	416
377	253	416
378	253	415
379	254	415
380	255	414
381	255	413
382	256	413
383	257	412
384	257	411
385	258	411
386	259	410
387	259	409
388	260	408
389	261	408
390	261	407
391	262	406
392	262	406
393	263	405
394	264	404
395	264	403
396	265	403
397	266	402
398	266	401
399	267	401
400	268	400
401	268	399
402	269	399
403	270	398
404	270	397
405	271	397
406	272	396
407	272	395
408	273	394
409	273	394
410	274	393
411	275	392
412	275	392
413	276	391
414	277	390
415	277	389
416	278	389
417	278	388
418	279	387
419	280	386
420	280	386
421	281	385
422	282	384
423	283	384
424	283	383
425	284	383
426	285	382
427	285	381
428	286	381
429	287	380
430	287	379
431	288	379
432	288	378
433	289	377
434	290	377
435	290	376
436	291	375
437	292	374
438	292	374
439	293	373
440	294	372
441	294	372
442	295	371
443	296	370
444	296	370
445	297	369
446	298	368
447	298	368
448	299	367
449	300	366
450	300	366
451	301	365
452	301	364
453	302	363
